Coincidencias;Eficiencia;Tiempo UTC
3.55667;1;1572027269
3.5775;1;1572030867
3.63361;1;1572034465
3.56833;1;1572038063
3.56194;1;1572041661
3.55583;1;1572045259
3.60639;1;1572048857
3.51028;1;1572052455
3.59194;1;1572056053
3.60222;1;1572059651
3.58361;1;1572063249
3.5975;1;1572066847
3.62028;1;1572070445
3.61861;1;1572074043
3.645;1;1572077642
3.60833;1;1572081240
3.49444;1;1572084838
3.60167;1;1572088436
3.61611;1;1572092034
3.53583;1;1572095632
3.56139;1;1572099230
3.62111;1;1572102828
3.56861;1;1572106427
3.62056;1;1572110025
3.625;1;1572113623
3.59889;1;1572117221
3.65972;1;1572120819
3.6125;1;1572124417
3.64389;1;1572128015
3.54472;1;1572131613
3.63417;1;1572135211
3.60972;1;1572138809
3.61778;1;1572142407
3.56417;1;1572146005
3.59972;1;1572149603
3.69556;1;1572153201
3.59667;1;1572156799
3.60917;1;1572160397
3.58667;1;1572163995
3.62111;1;1572167593
3.60111;1;1572171191
3.54944;1;1572174789
3.62389;1;1572178387
3.6225;1;1572181985
3.63833;1;1572185583
3.61444;1;1572189181
3.62278;1;1572192779
3.68194;1;1572196378
3.65694;1;1572199976
3.69;1;1572203574
3.60583;1;1572207172
3.55917;1;1572210770
3.56222;1;1572214368
3.60083;1;1572217966
3.58389;1;1572221564
3.59833;1;1572225162
3.56833;1;1572228760
3.60833;1;1572232358
3.62194;1;1572235956
3.6;1;1572239554
3.66833;1;1572243152
3.64917;1;1572246751
3.65444;1;1572250349
3.61111;1;1572253947
3.63306;1;1572257545
3.67389;1;1572261143
3.61989;0.999127;1572264741
3.67861;1;1572268339
3.62139;1;1572271937
3.59833;1;1572275535
3.65806;1;1572279133
3.64694;1;1572282731
3.63861;1;1572286329
3.67611;1;1572289927
3.65528;1;1572293525
3.64111;1;1572297123
