,date,teff,ts,ps
0,2021-04-06 00:00:00,259.406577,293.2441917619001,863.1624621472041
1,2021-04-06 03:00:00,258.8962635,287.76383493290035,862.1078632208043
2,2021-04-06 06:00:00,258.668698,288.04161473160025,861.5418632208043
3,2021-04-06 09:00:00,258.715166,289.3134187922001,860.7805632208043
4,2021-04-06 12:00:00,258.76138650000007,288.0931837922001,860.3452632208043
5,2021-04-06 15:00:00,259.571645,300.685257987,863.4735632208044
6,2021-04-06 18:00:00,260.486917,305.80333825540015,862.9839632208044
7,2021-04-06 21:00:00,260.813449,303.926567316,858.4446632208044
8,2021-04-07 00:00:00,260.440014,294.9405962251001,862.5482832208043
9,2021-04-07 03:00:00,259.8868915,291.1094343290002,861.8024632208044
10,2021-04-07 06:00:00,259.68106499999993,290.76411852380005,861.9222632208043
11,2021-04-07 09:00:00,259.27907600000003,289.14050906060015,862.5212832208042
12,2021-04-07 12:00:00,259.37066000000004,289.43955919480015,862.8544621472041
13,2021-04-07 15:00:00,260.2127445,298.2566243290002,862.5271632208044
14,2021-04-07 18:00:00,261.12820149999993,310.3435286580002,864.5038421472042
15,2021-04-07 21:00:00,261.774579,309.9051779870001,859.7584832208042
16,2021-04-08 00:00:00,261.054287,296.3481760238001,860.2474832208043
17,2021-04-08 03:00:00,260.204491,291.90418879220016,861.0035621472041
18,2021-04-08 06:00:00,260.07171450000004,291.1830687922001,861.6817832208043
19,2021-04-08 09:00:00,259.4824095,288.3992443290002,863.8545421472041
20,2021-04-08 12:00:00,259.35193000000004,287.55340446320014,859.4251632208044
21,2021-04-08 15:00:00,260.40589450000004,301.3182247316002,865.9979421472042
22,2021-04-08 18:00:00,261.47276,311.26218231600006,862.8170421472041
23,2021-04-08 21:00:00,261.953891,308.2475724502001,858.4928832208041
24,2021-04-09 00:00:00,260.92343400000004,298.0462752186,859.2850832208043
25,2021-04-09 03:00:00,260.08742900000004,292.1000090606001,860.0287621472041
26,2021-04-09 06:00:00,259.79566650000004,290.05908459740016,860.7645621472041
27,2021-04-09 09:00:00,259.534584,289.00045932900014,862.1224421472042
28,2021-04-09 12:00:00,259.42831049999995,289.0915797316001,863.0161421472042
29,2021-04-09 15:00:00,260.554229,301.54163473160014,862.3549832208042
30,2021-04-09 18:00:00,261.58953349999996,309.1372539264002,863.6342421472042
31,2021-04-09 21:00:00,262.278144,310.5314627186001,859.5280421472041
32,2021-04-10 00:00:00,261.49530550000003,298.4542567619002,859.470182147204
33,2021-04-10 03:00:00,260.274749,290.8711655368002,864.397862147204
34,2021-04-10 06:00:00,259.8215660000001,289.68880986580024,864.387162147204
35,2021-04-10 09:00:00,259.454288,288.16867486580026,858.9269832208042
36,2021-04-10 12:00:00,259.63403300000004,287.5245700000002,858.8795832208042
37,2021-04-10 15:00:00,260.7733435,299.94271000000026,863.693041073604
38,2021-04-10 18:00:00,261.67374,308.38811838960027,862.690462147204
39,2021-04-10 21:00:00,262.30226550000003,308.16099312120025,855.9521832208043
40,2021-04-11 00:00:00,261.53524300000004,297.25814959740023,860.469162147204
41,2021-04-11 03:00:00,260.579599,290.06537013420024,863.0525621472041
42,2021-04-11 06:00:00,260.327238,288.3815654026003,861.0061421472042
43,2021-04-11 09:00:00,260.23037899999997,287.55280540260026,859.7175421472042
44,2021-04-11 12:00:00,259.79293,286.44440067100027,862.914862147204
45,2021-04-11 15:00:00,261.069473,300.74448473160027,861.3391421472041
46,2021-04-11 18:00:00,262.2771085,311.4589708398001,860.4803421472042
47,2021-04-11 21:00:00,262.9192755000001,312.37137637660015,854.7754832208042
48,2021-04-12 00:00:00,262.33792400000004,300.0943156883,855.0888832208042
49,2021-04-12 03:00:00,261.256422,292.0843698658001,859.2666832208042
50,2021-04-12 06:00:00,260.984854,290.69848013420017,859.8307832208043
51,2021-04-12 09:00:00,260.548506,289.9847697316002,861.5092421472042
52,2021-04-12 12:00:00,260.518931,289.14234986580016,862.3891421472041
53,2021-04-12 15:00:00,261.5885435,304.34123879220016,862.8179421472041
54,2021-04-12 18:00:00,262.98736349999996,314.97735419480034,858.2599832208042
55,2021-04-12 21:00:00,263.53275400000007,312.59889825540023,854.6629832208042
56,2021-04-13 00:00:00,262.1344880000001,298.47363852380005,860.913762147204
57,2021-04-13 03:00:00,261.21206750000005,293.63654473160017,859.4555832208042
58,2021-04-13 06:00:00,260.9705585,291.61284526840024,860.3972621472041
59,2021-04-13 09:00:00,260.730368,289.9552951342002,861.8061421472041
60,2021-04-13 12:00:00,260.5060465,289.5767800000002,860.9328832208042
61,2021-04-13 15:00:00,261.730256,308.3781582554,860.0601632208044
62,2021-04-13 18:00:00,262.6366725,316.4637229870001,860.1024832208043
63,2021-04-13 21:00:00,261.921731,295.94347687880077,860.968141073604
64,2021-04-14 00:00:00,261.20534200000003,291.7744897316004,858.8201832208042
65,2021-04-14 03:00:00,260.28088749999995,289.1699990606003,862.2321832208042
66,2021-04-14 06:00:00,260.55024249999997,291.1019790606001,862.2169832208042
67,2021-04-14 09:00:00,260.208951,290.72696379220014,863.5504421472043
68,2021-04-14 12:00:00,260.015578,290.0512691948001,862.804362147204
69,2021-04-14 15:00:00,261.20635350000003,308.2158733896,861.8522632208044
70,2021-04-14 18:00:00,262.2788335000001,313.45014919480025,862.4424832208042
71,2021-04-14 21:00:00,261.01473400000003,293.04274228140076,863.660541073604
72,2021-04-15 00:00:00,260.796137,292.0956523658005,863.629141073604
73,2021-04-15 03:00:00,260.7622235,290.9869193290002,861.5720832208042
74,2021-04-15 06:00:00,260.6176485,290.28200892640024,860.8548621472041
