,date,teff,ts,ps
0,2021-04-06 00:00:00,259.76282699999996,300.5054063897625,1000.05276764724
1,2021-04-06 03:00:00,259.4056385,296.26741087480747,1002.310088
2,2021-04-06 06:00:00,259.18557300000003,293.93999917638,1001.7440879999999
3,2021-04-06 09:00:00,258.995791,293.111769544095,1003.55694764724
4,2021-04-06 12:00:00,258.87013650000006,296.919006044095,1004.5474879999999
5,2021-04-06 15:00:00,259.18414500000006,305.83184063228504,1003.675788
6,2021-04-06 18:00:00,259.4275420000001,297.1659237653401,1001.1198
7,2021-04-06 21:00:00,259.486574,299.874079367715,999.89596764724
8,2021-04-07 00:00:00,259.640639,295.365955044095,1002.298188
9,2021-04-07 03:00:00,259.5018915,294.52260945590507,1004.5788476472401
10,2021-04-07 06:00:00,259.38293999999996,294.32644595590494,1002.1244879999999
11,2021-04-07 09:00:00,259.34470100000004,294.16617595590503,1002.2711879999999
12,2021-04-07 12:00:00,259.436285,298.69154482362006,1005.0698476472401
13,2021-04-07 15:00:00,259.7383695,306.71214973543005,1005.3035476472401
14,2021-04-07 18:00:00,260.2700765,307.622507867715,1001.7581476472401
15,2021-04-07 21:00:00,260.52020400000004,301.850070955905,999.508388
16,2021-04-08 00:00:00,260.725537,297.07728483819,1001.931
17,2021-04-08 03:00:00,260.55761599999994,298.6174012204751,1002.5784
18,2021-04-08 06:00:00,260.2517145,295.95193122047505,1004.0058476472401
19,2021-04-08 09:00:00,259.82178450000004,293.6603341322851,1002.534688
20,2021-04-08 12:00:00,259.965055,297.706976279525,1003.627388
21,2021-04-08 15:00:00,260.5115195,306.78861282362004,1001.92716764724
22,2021-04-08 18:00:00,260.99713499999996,309.2592458677151,998.74626764724
23,2021-04-08 21:00:00,261.402641,304.02038082362003,998.2427879999998
24,2021-04-09 00:00:00,261.612184,300.12355333819005,1000.9686
25,2021-04-09 03:00:00,261.21430399999997,298.338529632285,1001.6035999999999
26,2021-04-09 06:00:00,260.8875415,296.64170149999995,1002.9799476472399
27,2021-04-09 09:00:00,260.62395900000007,296.129001544095,1003.3767476472401
28,2021-04-09 12:00:00,260.6170605,300.38697141181,1002.94536764724
29,2021-04-09 15:00:00,260.95547899999997,309.505172955905,1004.6790476472402
30,2021-04-09 18:00:00,261.5039085,307.404608279525,1000.248
31,2021-04-09 21:00:00,261.7012690000001,303.86869954409497,1000.1417999999999
32,2021-04-10 00:00:00,261.7490555,298.67896775,999.90816764724
33,2021-04-10 03:00:00,261.403499,297.4187645881901,999.8747676472399
34,2021-04-10 06:00:00,261.12344100000007,296.28706267638,999.8640676472401
35,2021-04-10 09:00:00,260.92428800000005,295.87297150000006,999.92596764724
36,2021-04-10 12:00:00,260.966533,300.937639455905,1002.6294879999999
37,2021-04-10 15:00:00,261.56271849999996,309.684103,999.06126764724
38,2021-04-10 18:00:00,262.02374000000003,309.00134676457003,999.49244764724
39,2021-04-10 21:00:00,262.3360155,305.23319608818997,998.2762476472401
40,2021-04-11 00:00:00,262.12274299999996,302.10806549999995,995.9460676472399
41,2021-04-11 03:00:00,261.771474,299.53013122047497,999.214
42,2021-04-11 06:00:00,261.214113,297.473135,999.686288
43,2021-04-11 09:00:00,260.854754,295.521857720475,1000.3313
44,2021-04-11 12:00:00,260.27418,299.45188114724004,1003.0763
45,2021-04-11 15:00:00,260.282598,307.00010517638003,1004.019288
46,2021-04-11 18:00:00,259.8483585,296.176462426765,1003.84502035276
47,2021-04-11 21:00:00,259.8461505,294.717920396855,1005.09954764724
48,2021-04-12 00:00:00,259.560424,293.390782294095,1006.8387879999999
49,2021-04-12 03:00:00,259.32017199999996,291.404468,1007.016588
50,2021-04-12 06:00:00,259.06485399999997,290.37000682362003,1007.580688
51,2021-04-12 09:00:00,258.751006,289.50090491181004,1008.189388
52,2021-04-12 12:00:00,258.960181,292.86827141181004,1009.0692879999999
53,2021-04-12 15:00:00,259.3716685,300.657669455905,1007.4317
54,2021-04-12 18:00:00,259.7436135,302.547872867715,1006.0098879999999
55,2021-04-12 21:00:00,259.791504,297.65047095590495,1006.412888
56,2021-04-13 00:00:00,259.691988,293.1397845220475,1007.141588
57,2021-04-13 03:00:00,259.5645675,291.63763795590506,1007.2054879999998
58,2021-04-13 06:00:00,259.3718085,290.152736455905,1008.0384879999999
59,2021-04-13 09:00:00,259.24661799999996,289.36003495590495,1006.4199
60,2021-04-13 12:00:00,259.1254215000001,294.6366649559051,1011.25694764724
61,2021-04-13 15:00:00,259.387756,304.498633,1008.262388
62,2021-04-13 18:00:00,259.8016725,306.34503604409497,1006.4265476472401
63,2021-04-13 21:00:00,259.852356,300.4694325881901,1005.66144764724
64,2021-04-14 00:00:00,259.646592,294.83472216181,1006.5700879999999
65,2021-04-14 03:00:00,259.4208875,293.167136455905,1005.982088
66,2021-04-14 06:00:00,259.40211750000003,291.77933645590497,1003.21596764724
67,2021-04-14 09:00:00,259.08207600000003,290.90773304409504,1004.1642000000002
68,2021-04-14 12:00:00,259.198703,297.15819995590493,1006.4455879999998
69,2021-04-14 15:00:00,259.5351035,306.75479991181,1003.30356764724
70,2021-04-14 18:00:00,260.1407085000001,307.952363367715,999.44146764724
71,2021-04-14 21:00:00,260.22223400000007,301.81376645590507,999.7133
72,2021-04-15 00:00:00,260.123637,297.7631762133825,1001.748288
73,2021-04-15 03:00:00,259.7965985,296.7377794118099,1003.89614764724
74,2021-04-15 06:00:00,259.41139849999996,295.456357808665,1003.0702476472401
75,2021-04-15 09:00:00,258.984148,293.9674734118099,1001.09506764724
